Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths_Rate,Recovered_Rate,Deaths / 100 Recovered,No. of countries,Recovery Rate,Fatality Rate
12914636,568993,7041174,5304469,192668,3954,111463,4.41,54.52,8.08,187,0.5452088622551964,0.044057997453431905
13107415,572808,7181139,5353468,192779,3815,139965,4.37,54.79,7.98,187,0.5478684393528396,0.04370106538932352
13328867,578468,7322897,5427502,221452,5660,141758,4.34,54.94,7.9,187,0.5494013107040531,0.04339963779366993
13559984,583961,7482320,5493703,231122,5493,159423,4.31,55.18,7.8,187,0.55179416140904,0.04306502131565937
13812525,589760,7634241,5588524,252544,5799,151921,4.27,55.27,7.73,187,0.5527042303995829,0.042697479280580486
14054563,596503,7793760,5664300,242038,6743,159519,4.24,55.45,7.65,187,0.5545359183348497,0.04244194572253865
14292198,602130,7944550,5745518,237635,5627,150790,4.21,55.59,7.58,187,0.5558662145598599,0.04212997888778199
14506845,606159,8032235,5868451,214647,4029,87685,4.18,55.37,7.55,187,0.5536858634665222,0.04178434387353005
14713623,610319,8190777,5912527,206778,4160,158542,4.15,55.67,7.45,187,0.5566798197833396,0.04147985849576274
14947078,616557,8364986,5965535,233565,6238,174209,4.12,55.96,7.37,187,0.5596402186434031,0.041249333147254603
15227725,623540,8541255,6062930,280647,6983,176269,4.09,56.09,7.3,187,0.5609015791919016,0.04094767931519646
15510481,633506,8710969,6166006,282756,9966,169714,4.08,56.16,7.27,187,0.5616182373712331,0.04084373656755068
15791645,639650,8939705,6212290,281164,6144,228736,4.05,56.61,7.16,187,0.5661034680047582,0.04050559647205849
16047190,644517,9158743,6243930,255545,4867,219038,4.02,57.07,7.04,187,0.5707381167668607,0.040163854232423246
16251796,648621,9293464,6309711,204606,4104,134721,3.99,57.18,6.98,187,0.571842275155312,0.039910727405143405
16480485,654036,9468087,6358362,228693,5415,174623,3.97,57.45,6.91,187,0.5745029348347455,0.03968548255709708
